"Año","Trimestre","Provincia","Velocidad","Accesos"
"2025","4","Catamarca","200","42"
"2025","4","Catamarca","300","19.356"
"2025","4","Catamarca","500","285"
"2025","4","Catamarca","600","2.330"
"2025","4","Catamarca","1000","49"
"2025","4","Catamarca","226,5","10.704"
"2025","4","Chaco","0","20.887"
"2025","4","Chaco","1","68"
"2025","4","Chaco","2","776"
"2025","4","Chaco","3","2.373"
"2025","4","Chaco","4","493"
"2025","4","Chaco","0,5","234"
"2025","4","Chaco","5","3.728"
"2025","4","Chaco","6","2.059"
"2025","4","Chaco","7","142"
"2025","4","Chaco","8","220"
"2025","4","Chaco","9","1"
"2025","4","Chaco","10","5.308"
"2025","4","Chaco","12","77"
"2025","4","Chaco","14","100"
"2025","4","Chaco","15","1.954"
"2025","4","Chaco","16","24"
"2025","4","Chaco","20","378"
"2025","4","Chaco","25","3.367"
"2025","4","Chaco","30","6.388"
"2025","4","Chaco","3,5","165"
"2025","4","Chaco","48","1.292"
"2025","4","Chaco","50","7.191"
"2025","4","Chaco","0,51","2"
"2025","4","Chaco","60","4.225"
"2025","4","Chaco","70","8"
"2025","4","Chaco","100","72.585"
"2025","4","Chaco","120","8"
"2025","4","Chaco","150","4.914"
"2025","4","Chaco","200","409"
"2025","4","Chaco","300","39.571"
"2025","4","Chaco","500","1.283"
"2025","4","Chaco","600","2.138"
"2025","4","Chaco","800","114"
"2025","4","Chaco","1000","119"
"2025","4","Chaco","226,5","12.420"
"2025","4","Chubut","0","5.475"
"2025","4","Chubut","1","342"
"2025","4","Chubut","2","1.777"
"2025","4","Chubut","3","4.843"
"2025","4","Chubut","4","6.653"
"2025","4","Chubut","5","1.265"
"2025","4","Chubut","0,5","64"
"2025","4","Chubut","6","13.758"
"2025","4","Chubut","7","54"
"2025","4","Chubut","8","1.360"
"2025","4","Chubut","9","11"
"2025","4","Chubut","10","7.846"
"2025","4","Chubut","11","1"
"2025","4","Chubut","12","1.852"
"2025","4","Chubut","14","35"
"2025","4","Chubut","15","2.916"
"2025","4","Chubut","16","141"
"2025","4","Chubut","20","4.418"
"2025","4","Chubut","24","812"
"2025","4","Chubut","25","3.810"
"2025","4","Chubut","30","3.066"
"2025","4","Chubut","3,5","68"
"2025","4","Chubut","35","998"
"2025","4","Chubut","40","1"
"2025","4","Chubut","45","2"
"2025","4","Chubut","50","24.189"
"2025","4","Chubut","0,51","32"
"2025","4","Chubut","80","235"
"2025","4","Chubut","100","31.262"
"2025","4","Chubut","101","11"
"2025","4","Chubut","200","162"
"2025","4","Chubut","300","31.229"
"2025","4","Chubut","301","2"
"2025","4","Chubut","302","11"
"2025","4","Chubut","400","15"
"2025","4","Chubut","500","607"
"2025","4","Chubut","600","4.333"
"2025","4","Chubut","700","145"
"2025","4","Chubut","800","450"
"2025","4","Chubut","940","4.082"
"2025","4","Chubut","1000","6"
"2025","4","Chubut","226,5","18.991"
"2025","4","Córdoba","0","33.347"
"2025","4","Córdoba","1","6.126"
"2025","4","Córdoba","2","6.569"
"2025","4","Córdoba","3","17.076"
"2025","4","Córdoba","4","8.935"
"2025","4","Córdoba","5","5.866"
"2025","4","Córdoba","0,5","80"
"2025","4","Córdoba","6","41.386"
"2025","4","Córdoba","7","1.786"
"2025","4","Córdoba","8","9.182"
"2025","4","Córdoba","9","915"
"2025","4","Córdoba","10","39.987"
"2025","4","Córdoba","11","79"
"2025","4","Córdoba","12","9.768"
"2025","4","Córdoba","13","25"
"2025","4","Córdoba","14","10"
"2025","4","Córdoba","1,5","7"
"2025","4","Córdoba","15","9.044"
"2025","4","Córdoba","16","134"
"2025","4","Córdoba","17","1"
"2025","4","Córdoba","18","618"
"2025","4","Córdoba","20","17.733"
"2025","4","Córdoba","22","600"
"2025","4","Córdoba","2,2","14"
"2025","4","Córdoba","24","46"
"2025","4","Córdoba","25","14.419"
"2025","4","Córdoba","2,5","173"
"2025","4","Córdoba","30","6.839"
"2025","4","Córdoba","33","1"
"2025","4","Córdoba","3,3","1"
"2025","4","Córdoba","35","52"
"2025","4","Córdoba","3,5","4.659"
"2025","4","Córdoba","40","3.968"
"2025","4","Córdoba","45","4"
"2025","4","Córdoba","50","83.327"
"2025","4","Córdoba","0,51","10"
"2025","4","Córdoba","60","1.574"
"2025","4","Córdoba","70","35"
"2025","4","Córdoba","75","97"
"2025","4","Córdoba","0,75","48"
"2025","4","Córdoba","80","1.388"
"2025","4","Córdoba","100","398.411"
"2025","4","Córdoba","10,1","21"
"2025","4","Córdoba","10,2","36"
"2025","4","Córdoba","120","698"
"2025","4","Córdoba","12,3","16"
"2025","4","Córdoba","140","1"
"2025","4","Córdoba","150","4.427"
"2025","4","Córdoba","157","157"
"2025","4","Córdoba","200","17.534"
"2025","4","Córdoba","20,5","3"
"2025","4","Córdoba","225","1"
"2025","4","Córdoba","250","1"
"2025","4","Córdoba","25,1","606"
"2025","4","Córdoba","25,5","1"
"2025","4","Córdoba","300","385.928"
"2025","4","Córdoba","400","639"
