provincia,departamento,sector,ambito,Localizacion,ElectricidadSi,ElectricidadRedpública,ElectricidadGrupoelectrógeno,ElectricidadPanelfotovoltaicosolar,ElectricidadGeneradoreólico,ElectricidadGeneradorhidráulico,ElectricidadOtro,EquipamientoEstablecimientoTelevisor,EquipamientoEstablecimientoSistemamultimediaoCañón,EquipamientoEstablecimientoScanner,EquipamientoEstablecimientoWebcam,EquipamientoEstablecimientoReproductordeCD,EquipamientoEstablecimientoReproductordeDVD,EquipamientoEstablecimientoImpresora,EquipamientoEstablecimientoEquipoemisorderadioAMFM,EquipamientoEstablecimientoEquiporeceptorderadioAMFM,EquipamientoEstablecimientoServidorparausoescolar,EquipamientoEstablecimientoImpresora3D,EquipamientoEstablecimientoEquipodeSonido,EquipamientoEstablecimientoPizarrasdigitales,EquipamientoBibliotecaTelevisor,EquipamientoBibliotecaSistemamultimediaoCañón,EquipamientoBibliotecaScanner,EquipamientoBibliotecaEquipamientoBibliotecaWebcam,EquipamientoBibliotecaReproductordeCD,EquipamientoBibliotecaReproductordeDVD,EquipamientoBibliotecaImpresora,EquipamientoBibliotecaEquipoemisorderadioAMFM,EquipamientoBibliotecaEquiporeceptorderadioAMFM,EquipamientoBibliotecaServidorparausoescolar,InternetTipodeservicioGratuito,InternetTipodeservicioPago,InternetTipodeconexiónTelefónica,InternetTipodeconexiónADSL,InternetTipodeconexiónCableMódem,InternetTipodeconexiónSatelital,InternetTipodeconexiónOtroTipo,InternetTipodeconexiónMóvil,EspaciosconconexiónEneláreadeadministración,EspaciosconconexiónEnlasaulas,EspaciosconconexiónEnlabibliotecas,EspaciosconconexiónEnotroespaciodelestablecimiento,EspaciosconconexiónEnellaboratorio,CooperadoraConpersoneríajurídica,CooperadoraSinpersoneríajurídica,CooperadoraNo,SistemadeGestiónEscolarSi,SistemadeGestiónEscolarProvistoporelMinisterio,SistemadeGestiónEscolarDesarrolladoporterceros,SistemadeGestiónEscolarEncargadoporelEstablecimiento,SistemadeGestiónEscolarPlanilladeCalculo,DisponedesalaolaboratoriodeinformáticaSi,LaboratorioFuncionaesespacioexclusivoSi,BibliotecaDisponedealmenosunaSi,BibliotecaFuncionaesespacioexclusivoSi,SubvenciónEstatalJardínMaternalSi,SubvenciónEstatalJardíndeInfantesSi,SubvenciónEstatalPrimariaSi,SubvenciónEstatalSecundariaSi,SubvenciónEstatalSNUSi
Buenos Aires,25 DE MAYO,Estatal,Rural,49,48,48,1,,,,,31,35,19,6,20,24,41,14,,3,1,27,20,8,7,3,1,5,6,7,1,,1,8,19,3,2,16,6,3,3,18,23,12,10,4,28,13,7,19,14,,1,4,12,6,23,13,,,,,
Buenos Aires,25 DE MAYO,Estatal,Urbano,43,43,43,,,,,,32,29,23,4,22,18,30,17,,1,2,27,14,11,9,4,,3,6,1,1,,,9,25,2,,27,2,4,2,30,21,18,13,7,25,5,13,20,20,,,,10,4,31,22,,,,,
Buenos Aires,25 DE MAYO,Privado,Urbano,9,9,9,,,,,,7,5,7,7,8,9,9,5,,4,1,9,,3,4,1,2,1,3,3,1,,2,,9,1,3,5,1,,2,9,6,3,6,2,,,9,7,5,,,2,2,1,5,4,,3,3,3,
Buenos Aires,9 DE JULIO,Estatal,Rural,48,48,48,,,,,,34,37,22,8,29,28,39,17,,6,2,33,25,13,12,5,1,11,10,9,4,,1,17,10,5,5,11,5,1,2,21,17,13,11,7,28,8,12,12,9,1,,2,12,7,32,19,,,,,
Buenos Aires,9 DE JULIO,Estatal,Urbano,37,37,37,,,,,,23,31,15,8,14,18,32,17,,3,6,31,17,10,8,5,1,5,6,10,3,,2,24,9,8,7,18,1,1,3,31,25,22,17,12,19,11,7,17,14,1,2,,11,9,28,21,,,,,
Buenos Aires,9 DE JULIO,Privado,Urbano,7,7,7,,,,,,6,7,6,4,7,6,7,5,,2,1,7,,2,2,2,,2,2,1,2,,1,,7,,2,2,2,,2,7,7,4,4,4,,,7,4,2,2,,,4,4,5,5,,2,2,3,
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,26,26,26,,,,,,21,19,15,9,21,12,21,16,,8,1,17,16,6,6,5,4,7,4,5,5,,1,21,3,3,2,4,18,,,16,17,7,14,4,14,7,5,14,13,,,1,5,3,12,5,,,,,
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,19,19,19,,,,,,19,17,9,3,13,12,17,10,,,1,16,10,5,4,1,,3,3,1,1,,,11,8,3,1,9,3,4,,19,17,10,11,3,8,11,,10,10,,,,5,2,13,10,,,,,
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,22,22,21,1,1,,,,17,13,5,5,8,12,19,13,,6,,13,4,3,4,,,2,2,2,3,,1,10,3,2,1,4,7,2,1,10,11,2,7,2,13,8,1,16,16,,,,2,,17,3,,,,,
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,14,14,14,1,,,,,11,11,5,4,7,6,11,8,,1,1,11,7,6,5,1,2,6,6,3,3,,,9,3,1,1,5,,3,3,11,8,9,7,5,9,5,,9,8,,,1,6,3,12,11,,,,,
Buenos Aires,ALBERTI,Estatal,Rural,17,17,17,,,,,,16,13,8,5,13,8,14,9,,4,1,11,6,2,4,1,1,3,3,2,1,,1,6,9,1,,5,6,3,,11,11,5,5,3,10,6,1,7,7,,,,6,3,8,6,,,,,
Buenos Aires,ALBERTI,Estatal,Urbano,10,10,10,,,,,,8,10,6,2,7,4,9,8,,,1,9,3,,4,1,,2,1,1,1,,,2,8,1,,6,2,1,1,9,10,6,6,3,5,3,2,4,4,,,,4,3,6,5,,,,,
Buenos Aires,ALMIRANTE BROWN,Estatal,Urbano,237,224,223,,,,,1,190,177,74,32,118,127,185,83,,30,11,181,54,71,44,3,8,30,45,15,26,,8,203,1,43,15,127,13,29,23,200,142,114,81,41,86,70,69,105,91,1,,13,57,41,203,150,,,,,
Buenos Aires,ALMIRANTE BROWN,Privado,Urbano,175,158,158,9,,,,,138,118,81,78,121,113,145,85,,29,8,150,14,34,22,10,13,31,26,25,16,,3,,150,70,15,94,5,8,15,146,90,45,81,83,,,159,76,47,13,12,4,90,72,96,69,3,46,45,44,1
Buenos Aires,ARRECIFES,Estatal,Rural,14,14,14,,,,,,12,10,3,1,7,8,10,6,,5,,10,4,2,2,,,1,3,2,1,,,10,1,1,1,6,2,4,,8,9,4,6,1,5,7,2,7,6,,,1,3,1,6,5,,,,,
Buenos Aires,ARRECIFES,Estatal,Urbano,31,31,31,,,,,,27,21,12,3,19,24,25,15,,9,2,22,9,13,9,4,1,9,10,6,3,,4,27,4,4,3,13,3,8,3,28,18,11,11,6,13,12,6,19,19,,,,8,6,23,15,,,,,
Buenos Aires,AVELLANEDA,Estatal,Urbano,185,177,176,,,,,1,149,143,80,29,107,111,158,79,,30,13,151,49,49,36,8,6,28,36,18,18,,5,136,14,40,3,98,7,19,22,144,93,70,60,41,113,44,20,67,52,2,5,8,65,50,148,110,,,,,
Buenos Aires,AVELLANEDA,Privado,Urbano,119,105,105,3,,,,2,88,95,68,67,88,73,100,60,,19,3,98,31,17,19,8,10,21,22,17,8,,7,5,99,30,3,75,3,5,17,103,69,32,62,66,1,,104,44,11,18,12,3,67,60,57,37,8,30,26,29,3
Buenos Aires,AYACUCHO,Estatal,Rural,39,37,29,1,7,1,,,27,28,9,5,15,24,26,20,,2,,17,12,8,10,3,4,3,7,7,6,,1,13,2,,,1,12,1,1,6,9,3,5,1,18,13,7,11,8,1,,2,5,,23,6,,,,,
Buenos Aires,AYACUCHO,Estatal,Urbano,25,25,24,1,1,,,,22,19,7,3,14,19,20,10,,2,2,22,8,11,4,1,1,7,10,3,2,,1,3,10,1,,6,3,4,,13,5,4,5,2,11,5,9,11,10,,,1,8,4,18,14,,,,,
Buenos Aires,AZUL,Estatal,Rural,43,41,28,,13,,,,24,30,14,6,21,21,31,22,,6,1,29,18,6,10,2,3,7,6,10,8,,1,20,1,,,3,18,,1,9,18,1,10,1,9,12,22,6,5,,,1,8,,27,5,,,,,
Buenos Aires,AZUL,Estatal,Urbano,61,60,60,,,,,,51,44,22,12,32,34,53,33,,3,4,51,21,13,16,2,4,9,12,11,8,,1,51,1,4,5,31,5,7,8,52,30,23,23,13,32,17,11,28,23,2,,3,24,15,47,29,,,,,
Buenos Aires,AZUL,Privado,Urbano,21,21,21,,,,,,16,20,16,8,21,18,19,16,,4,1,21,2,6,6,3,1,6,5,3,4,,2,4,17,1,1,15,1,2,6,19,17,10,15,9,3,2,16,6,4,1,,1,10,6,13,8,1,4,7,7,
Buenos Aires,BAHIA BLANCA,Estatal,Rural,6,6,6,,,,,,5,5,3,4,4,4,5,5,,,,5,2,2,2,2,2,1,1,2,2,,,4,,,,1,2,2,,3,3,2,,1,1,2,3,1,1,,,,1,1,4,3,,,,,
Buenos Aires,BAHIA BLANCA,Estatal,Urbano,196,196,196,1,,,,,163,169,79,37,122,104,182,109,,23,10,163,70,75,58,12,10,60,49,37,34,,4,117,51,16,6,116,11,22,17,162,114,95,64,38,116,32,48,103,87,5,5,6,50,29,165,126,,,,,
Buenos Aires,BAHIA BLANCA,Privado,Urbano,85,84,84,,,,,,75,70,53,52,70,60,80,51,,15,2,79,10,15,13,10,10,20,16,18,14,,5,,82,10,7,65,4,5,10,82,66,39,58,38,,,84,50,21,13,14,2,40,38,56,43,9,21,15,19,4
Buenos Aires,BALCARCE,Estatal,Rural,34,34,33,,1,,,,22,19,14,3,13,11,27,14,,2,,18,11,6,4,1,1,2,3,2,1,,,12,6,,,5,12,2,,13,12,2,4,1,17,12,5,15,15,,,,5,,15,7,,,,,
Buenos Aires,BALCARCE,Estatal,Urbano,46,46,45,,1,,,,37,30,16,8,25,26,36,21,,9,1,31,14,18,9,2,2,5,9,4,1,,1,32,7,5,1,28,6,7,1,36,25,13,14,8,29,6,11,28,26,,,2,11,5,28,22,,,,,
Buenos Aires,BALCARCE,Privado,Urbano,4,4,4,,,,,,4,4,4,3,4,4,4,4,,2,,4,1,3,1,,2,3,1,,2,,2,,4,2,,4,,,2,4,4,3,3,3,1,,3,4,2,,2,,3,2,4,3,,3,3,1,
Buenos Aires,BARADERO,Estatal,Rural,25,24,21,3,3,1,,,18,17,12,4,14,13,21,13,,6,4,20,10,5,3,1,,4,2,5,2,,2,6,5,1,,2,6,,2,11,5,3,3,1,12,7,6,8,8,,,,5,1,14,6,,,,,
Buenos Aires,BARADERO,Estatal,Urbano,40,40,38,2,1,,,,26,26,13,4,16,15,27,14,,8,1,28,11,6,8,1,1,5,5,8,4,,1,26,2,9,5,15,2,1,2,27,15,13,13,5,14,14,12,16,14,2,,,10,6,31,22,,,,,
Buenos Aires,BARADERO,Privado,Urbano,10,10,10,,,,,,8,8,8,5,8,8,9,3,,,,7,5,7,7,,3,4,5,2,1,,,,10,5,2,4,,,1,10,9,7,8,6,,,10,7,3,2,2,,6,4,8,7,1,2,2,2,
Buenos Aires,BENITO JUAREZ,Estatal,Rural,13,13,13,,,,,,12,10,10,4,10,9,12,10,,1,1,11,6,5,5,5,2,6,4,5,5,,1,4,9,,1,5,4,2,2,13,10,4,3,,7,5,1,7,7,,,,1,,9,6,,,,,
Buenos Aires,BENITO JUAREZ,Estatal,Urbano,17,17,17,,,,,,14,17,13,3,12,12,17,11,,2,2,15,7,9,8,4,2,4,6,3,4,,,4,13,1,3,3,3,2,6,16,9,8,7,3,9,7,1,10,8,1,,1,3,2,16,12,,,,,
Buenos Aires,BERAZATEGUI,Estatal,Urbano,182,181,180,2,,,,1,154,139,73,28,95,104,159,83,,34,8,161,44,65,53,10,5,38,45,32,28,,9,156,11,35,17,78,26,33,22,166,115,101,71,34,95,44,42,85,70,1,3,11,51,33,171,129,,,,,
Buenos Aires,BERAZATEGUI,Privado,Urbano,103,98,96,8,,,,2,82,82,70,70,79,65,93,56,,15,8,94,22,16,19,12,13,25,14,23,13,,4,6,91,43,8,69,7,9,21,96,79,41,60,61,1,,97,32,18,5,8,1,63,54,57,39,3,27,25,25,3
Buenos Aires,BERISSO,Estatal,Urbano,57,55,55,,,,,,43,39,19,7,21,28,42,24,,10,5,41,12,24,9,3,3,13,16,5,9,,3,49,3,5,4,25,4,18,5,51,35,28,22,16,36,7,12,26,23,2,1,,20,11,49,34,,,,,
Buenos Aires,BERISSO,Privado,Urbano,21,21,21,,,,,,16,17,13,11,16,14,21,14,,4,,20,1,5,3,1,,2,2,3,3,,,,20,4,1,15,2,2,4,19,11,6,8,8,2,,19,12,5,2,2,3,9,8,12,11,,9,7,7,1
Buenos Aires,BOLIVAR,Estatal,Rural,40,40,39,1,,,,,30,29,16,4,18,23,27,19,,4,1,21,17,3,2,,,1,1,2,1,,,3,5,,1,3,4,,,5,6,2,5,1,22,9,9,7,6,1,,,1,1,13,4,,,,,
Buenos Aires,BOLIVAR,Estatal,Urbano,38,38,38,,,,,,30,28,14,9,24,22,29,25,,4,5,30,17,15,10,4,4,9,10,5,11,,1,17,10,1,1,15,6,3,4,26,18,15,8,4,17,8,13,9,8,1,,,8,6,25,21,,,,,
Buenos Aires,BOLIVAR,Privado,Urbano,7,7,7,,,,,,6,7,6,7,7,7,7,7,,,,7,,,2,4,3,4,2,5,2,,,,7,1,2,5,,2,1,7,7,6,6,6,,1,6,2,,,1,1,6,5,6,4,1,2,2,2,1
Buenos Aires,BRAGADO,Estatal,Rural,22,22,20,,1,,,2,20,17,13,3,13,13,19,15,,2,,21,8,6,4,,1,4,3,5,,,1,13,4,3,,10,6,1,1,12,13,4,6,1,13,5,4,7,6,,,1,3,1,12,9,,,,,
Buenos Aires,BRAGADO,Estatal,Urbano,31,31,31,1,1,1,1,,30,31,21,9,22,18,29,17,,5,5,29,19,9,7,1,2,7,4,4,6,,1,12,19,5,4,18,1,3,3,30,20,13,15,5,21,8,2,20,16,1,,3,7,5,24,17,,,,,
Buenos Aires,BRAGADO,Privado,Urbano,5,5,3,,3,,,,5,3,4,4,5,5,4,3,,1,1,5,,2,,,1,2,1,,1,,1,,5,2,,2,,,1,5,4,4,3,4,,,5,4,,2,1,1,4,3,4,3,1,1,1,3,
Buenos Aires,BRANDSEN,Estatal,Rural,29,29,28,,,,,1,19,20,13,6,14,11,20,14,,1,1,23,8,4,6,1,2,5,4,5,5,,,5,,,,3,2,,,5,1,2,3,1,14,4,11,10,5,,,5,5,2,19,6,,,,,
Buenos Aires,BRANDSEN,Estatal,Urbano,21,21,21,,,,,,17,18,11,2,13,11,16,9,,,1,13,6,9,5,1,1,3,4,3,1,,,5,4,3,,4,1,2,,8,2,4,2,1,13,3,5,7,6,,,1,7,2,19,14,,,,,
Buenos Aires,BRANDSEN,Privado,Urbano,10,8,8,,,,,,6,7,6,2,6,4,8,5,,2,,8,,1,2,,,2,2,,1,,,,8,1,2,4,2,1,,8,7,3,8,3,1,,7,4,4,,,,2,2,3,2,,2,3,2,
Buenos Aires,CAMPANA,Estatal,Rural,18,18,18,,,,,,10,16,7,3,9,14,15,8,,,3,17,6,5,10,2,3,6,8,6,7,,,3,,,,2,1,,1,3,2,2,2,2,10,4,4,4,3,,,1,5,4,15,9,,,,,
Buenos Aires,CAMPANA,Estatal,Urbano,73,73,73,,,,,,62,61,31,9,34,34,67,21,,11,10,56,22,25,18,2,3,11,13,11,6,,5,49,3,8,2,35,3,6,4,51,34,24,23,9,32,20,21,26,22,1,1,2,20,12,56,40,,,,,
Buenos Aires,CAMPANA,Privado,Urbano,38,36,36,7,,,,,30,34,23,25,27,21,36,17,,9,4,34,9,8,10,3,7,10,9,5,8,,1,,36,13,,31,5,3,14,36,35,17,23,11,,,36,14,5,3,3,3,12,7,21,10,2,5,4,5,
Buenos Aires,CAÑUELAS,Estatal,Rural,26,26,26,1,1,1,,,18,18,9,7,7,11,19,8,,2,1,19,5,8,7,,3,4,4,5,2,,2,6,5,,,3,6,2,,10,6,3,5,2,12,4,10,7,6,,1,,14,1,14,5,,,,,
Buenos Aires,CAÑUELAS,Estatal,Urbano,51,51,51,,,,,,36,38,15,5,25,29,40,22,,6,2,41,18,13,13,1,1,10,12,7,6,,3,25,13,6,2,23,5,5,1,36,22,12,8,7,22,14,15,20,19,,,1,15,6,35,24,,,,,
Buenos Aires,CAÑUELAS,Privado,Urbano,18,17,16,1,2,,,,17,16,12,13,15,15,17,7,,4,2,15,4,3,3,,1,3,3,3,,,,,17,5,2,10,6,1,2,17,14,5,12,11,1,,16,10,5,3,2,,11,10,10,4,,1,1,1,
Buenos Aires,CAPITAN SARMIENTO,Estatal,Rural,9,9,8,,,,,1,6,7,5,1,4,4,8,5,,,,8,3,1,,,,,1,,,,,7,1,1,,4,1,2,1,5,7,,1,,4,3,2,3,3,,,,3,,3,1,,,,,
Buenos Aires,CAPITAN SARMIENTO,Estatal,Urbano,18,18,18,,,,,,16,16,11,5,14,10,16,7,,7,1,15,4,10,7,3,1,8,7,8,2,,4,17,,1,1,12,1,2,2,16,12,13,11,9,10,6,2,14,13,,1,,9,7,16,12,,,,,
Buenos Aires,CARLOS CASARES,Estatal,Rural,34,34,34,,,,,,22,23,13,8,21,19,26,16,,4,1,25,17,4,7,2,2,5,6,5,3,,1,11,15,1,5,15,1,4,,18,20,11,12,,17,9,8,8,8,,,,5,1,19,11,,,,,
Buenos Aires,CARLOS CASARES,Estatal,Urbano,21,21,21,,,,,,13,18,13,8,11,9,20,7,,2,3,16,11,7,5,5,2,2,6,6,3,,2,4,16,3,1,14,,2,3,18,11,12,5,5,17,3,1,12,10,1,,1,6,3,18,14,,,,,
Buenos Aires,CARLOS TEJEDOR,Estatal,Rural,27,27,26,,,,,1,18,18,5,2,11,14,20,14,,3,2,16,13,4,5,2,1,4,4,3,2,,,17,3,1,1,12,5,3,2,13,15,5,5,2,6,12,9,11,10,,,1,5,1,11,7,,,,,
Buenos Aires,CARLOS TEJEDOR,Estatal,Urbano,16,16,16,,,,,,15,14,8,,9,8,14,8,,,1,10,6,2,7,2,,4,3,5,3,,,12,4,2,3,7,,4,1,14,9,7,7,,8,8,,8,8,,,,2,1,9,6,,,,,
Buenos Aires,CARMEN DE ARECO,Estatal,Rural,16,16,16,,,,,,11,13,2,2,6,10,14,3,,1,,8,3,3,4,1,1,3,4,5,1,,,2,3,,,4,1,,,5,4,2,2,,10,4,2,6,4,2,,,5,1,12,5,,,,,
Buenos Aires,CARMEN DE ARECO,Estatal,Urbano,26,26,26,,,,,,19,20,11,4,14,12,22,11,,4,1,22,12,6,5,3,2,4,5,2,1,,2,8,10,1,2,7,4,4,,17,9,7,8,2,11,10,5,10,8,,1,1,5,4,20,11,,,,,
Buenos Aires,CASTELLI,Estatal,Rural,16,15,14,,1,,,1,8,11,4,2,3,6,13,8,,,,10,2,,,,,,,,,,,4,1,1,,1,1,2,,3,4,1,2,1,11,3,2,2,2,,,,1,,6,1,,,,,
Buenos Aires,CASTELLI,Estatal,Urbano,8,8,8,,,,,,7,6,4,1,3,4,7,3,,1,,6,2,1,,,,,,,1,,,6,2,1,,4,,3,,7,6,2,4,3,4,1,3,3,3,,,,3,3,6,3,,,,,
Buenos Aires,CHACABUCO,Estatal,Rural,31,29,29,,1,,,,25,17,6,6,16,18,17,12,,4,,20,13,7,5,2,2,7,8,5,4,,,11,3,1,1,4,6,3,,8,12,4,6,2,14,8,7,7,4,,,3,9,3,18,10,,,,,
Buenos Aires,CHACABUCO,Estatal,Urbano,51,40,40,,,,,,28,25,5,11,21,22,26,19,,6,1,34,17,6,6,1,1,7,3,4,5,,1,28,7,5,,21,3,6,6,32,20,11,18,4,12,16,12,14,10,,1,3,10,3,28,18,,,,,
Buenos Aires,CHACABUCO,Privado,Urbano,9,9,9,,,,,,9,6,6,5,9,6,9,5,,4,1,9,,8,2,,2,8,5,2,4,,2,,9,2,,7,,1,3,9,6,8,4,1,1,,8,1,,1,,,3,1,9,8,4,4,2,2,
Buenos Aires,CHASCOMUS,Estatal,Urbano,67,66,60,1,4,,,3,44,54,34,16,32,31,59,30,,6,4,38,24,15,16,6,2,12,12,11,8,,3,25,8,8,3,17,7,7,4,30,21,18,19,9,40,12,15,19,15,2,,2,16,6,43,22,,,,,
Buenos Aires,CHASCOMUS,Privado,Urbano,10,10,10,,,,,,6,10,6,6,9,9,10,6,,2,,10,1,3,3,1,2,4,4,3,1,,,,10,5,,5,2,1,1,10,9,8,8,4,,,10,4,4,,,,4,4,9,5,,4,3,3,
Buenos Aires,CHIVILCOY,Estatal,Rural,33,33,30,,,,1,2,20,24,9,7,17,9,25,14,,,1,18,20,4,8,2,1,3,2,7,4,,,16,5,2,,7,5,5,4,14,15,3,7,,24,4,5,15,14,,,1,10,1,16,6,,,,,
Buenos Aires,CHIVILCOY,Estatal,Urbano,59,59,58,,,,1,,51,51,19,13,35,33,48,30,,9,2,49,28,22,16,5,4,9,16,10,6,,2,50,5,8,3,31,6,12,5,53,48,33,33,15,44,8,7,32,24,2,1,5,16,8,45,35,,,,,
Buenos Aires,CHIVILCOY,Privado,Urbano,19,19,19,,,,,,11,17,10,11,17,15,19,10,,2,,19,,3,6,3,3,8,6,4,4,,1,,19,2,,11,4,1,1,19,18,11,15,5,,,19,8,7,,1,,5,4,12,8,3,5,5,5,1
Buenos Aires,COLON,Estatal,Rural,11,11,11,,,,,,7,9,5,2,8,7,10,5,,,,9,3,2,2,,,1,2,,,,,4,2,,,2,2,2,,5,4,2,1,2,2,7,2,4,4,,,,2,,8,5,,,,,
Buenos Aires,COLON,Estatal,Urbano,21,21,21,,,,,,19,19,9,7,11,14,20,13,,3,2,18,8,12,8,2,3,5,8,5,6,,1,10,8,1,1,9,3,4,4,18,11,8,9,7,6,13,2,13,11,1,,1,9,6,18,13,,,,,
Buenos Aires,COLON,Privado,Urbano,9,9,9,,,,,,6,8,7,2,7,5,9,6,,,,9,2,2,4,1,,,,,1,,,,9,3,,4,,2,,9,6,4,3,3,,,9,7,4,2,1,,2,2,6,3,,3,3,3,
Buenos Aires,CORONEL DE MARINA L ROSALES,Estatal,Rural,17,17,16,,,,1,,13,12,8,1,7,6,13,9,,,1,14,11,4,3,,,2,2,2,2,,,10,4,1,1,10,2,,,12,6,3,3,2,6,5,6,4,3,,,1,2,1,8,5,,,,,
Buenos Aires,CORONEL DE MARINA L ROSALES,Estatal,Urbano,48,47,47,1,,1,,,41,36,17,10,24,23,43,20,,7,2,36,15,19,9,1,4,8,10,8,6,,1,39,7,6,1,39,,2,4,45,27,23,18,6,18,19,10,24,19,,1,4,9,5,40,28,,,,,
Buenos Aires,CORONEL DE MARINA L ROSALES,Privado,Urbano,9,9,9,,,,,,9,9,7,4,8,9,9,2,,2,1,9,,4,3,,,4,4,3,,,2,,9,3,,6,,2,,8,3,3,5,4,,,9,5,1,1,1,2,5,3,7,3,,3,3,3,
Buenos Aires,CORONEL DORREGO,Estatal,Rural,24,24,23,,1,,,,18,19,10,3,15,13,23,11,,2,1,15,9,5,3,2,,4,4,3,3,,1,10,5,5,,4,5,3,1,11,11,2,4,1,18,1,5,4,4,,,,4,1,14,6,,,,,
Buenos Aires,CORONEL DORREGO,Estatal,Urbano,16,16,16,,,,,,11,11,6,3,11,8,11,4,,2,2,13,5,6,3,1,1,2,2,2,,,1,10,1,2,,5,2,2,,9,9,6,5,2,11,,5,5,5,,,,4,4,12,9,,,,,
Buenos Aires,CORONEL DORREGO,Privado,Urbano,5,5,5,,,,,,4,3,3,2,4,4,5,4,,1,,4,,2,1,,,,1,,1,,1,1,4,1,,4,2,,,5,5,4,4,3,,1,4,2,1,,1,,3,2,5,3,,2,2,2,
Buenos Aires,CORONEL PRINGLES,Estatal,Rural,19,19,9,2,9,,,1,13,14,9,3,10,10,14,8,,,1,11,7,,,1,,1,,1,,,,1,3,,,1,1,2,1,2,3,3,2,2,10,3,6,2,2,,,,2,1,9,6,,,,,
Buenos Aires,CORONEL PRINGLES,Estatal,Urbano,29,29,26,3,3,,,,25,24,15,7,18,14,21,15,,6,1,23,17,6,4,,,2,4,2,3,,1,13,10,5,1,16,1,1,2,21,18,13,11,4,19,4,6,17,16,,1,,2,2,23,14,,,,,
Buenos Aires,CORONEL SUAREZ,Estatal,Rural,27,27,27,,,,,,23,23,18,8,20,20,25,15,,9,2,21,16,9,11,6,4,10,8,8,6,,1,14,7,2,1,6,8,5,2,13,19,9,9,5,17,7,3,7,7,,,,5,3,23,11,,,,,
Buenos Aires,CORONEL SUAREZ,Estatal,Urbano,50,50,49,,,,,1,41,37,24,13,31,32,42,30,,15,4,39,18,18,13,5,4,11,15,6,12,,5,23,21,11,2,20,10,5,4,41,30,19,16,8,32,9,9,26,21,2,1,2,13,8,37,29,,,,,
Buenos Aires,CORONEL SUAREZ,Privado,Urbano,8,8,8,,,,,,8,8,7,3,8,8,7,5,,2,,7,1,,,,,,,,,,,2,6,4,,6,,,,8,4,5,3,5,1,,7,4,4,,,,5,4,7,4,3,4,3,4,
Buenos Aires,DAIREAUX,Estatal,Rural,28,26,24,,1,,,1,18,20,12,4,11,11,20,9,,5,,14,10,4,3,,,4,3,2,2,,1,14,5,2,,9,3,6,2,13,13,1,9,,16,7,5,7,4,1,,2,4,,15,4,,,,,
Buenos Aires,DAIREAUX,Estatal,Urbano,15,15,13,,1,,,1,12,12,3,1,8,11,13,9,,,2,13,6,4,5,,,3,2,3,,,,2,10,2,,5,1,4,1,10,8,6,8,3,9,3,3,9,8,,,1,3,3,11,8,,,,,
Buenos Aires,DOLORES,Estatal,Rural,16,15,9,1,6,,,1,12,12,5,2,4,4,14,9,,2,1,15,6,2,2,1,,2,1,3,1,,,7,,,,5,2,,,6,7,2,3,1,10,5,1,4,4,,,,3,3,10,3,,,,,
Buenos Aires,DOLORES,Estatal,Urbano,22,22,22,,,,,,17,19,10,4,14,14,20,12,,9,2,20,7,7,6,1,1,2,5,4,3,,2,22,,6,,20,,2,2,22,15,14,18,8,9,11,2,12,12,,,,13,7,20,16,,,,,
Buenos Aires,Enmascarado,Estatal,Rural,19,19,18,1,1,,,,12,10,5,2,9,7,11,8,,,,12,5,1,3,,,3,1,2,1,,,8,2,2,1,2,3,3,,10,6,3,5,,9,1,9,7,7,,,,3,,14,6,,,,,
Buenos Aires,Enmascarado,Estatal,Urbano,24,23,23,,,,,,19,17,10,3,16,17,18,14,,,,18,9,8,7,,,6,7,8,6,,,15,5,4,,15,2,2,2,20,12,8,7,4,14,5,4,13,13,,,,2,1,19,11,,,,,
Buenos Aires,Enmascarado,Privado,,1,1,1,,,,,,1,1,1,1,,,1,1,,,,1,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,1,,,,,,,,1,,,,,,
Buenos Aires,Enmascarado,Privado,Rural,63,61,60,5,,,,1,48,49,38,23,43,39,56,27,,5,9,54,5,15,18,11,9,14,13,16,9,,3,14,43,11,3,29,14,10,7,57,38,26,34,25,4,11,46,29,21,3,2,3,27,21,43,33,12,23,15,29,
Buenos Aires,Enmascarado,Privado,Urbano,106,104,104,2,1,,,1,96,90,61,42,87,76,101,70,,26,5,95,13,31,30,11,12,33,25,27,26,,9,8,95,17,1,73,13,8,9,103,84,57,55,36,9,2,93,46,38,2,2,4,40,33,81,63,4,32,32,38,8
Buenos Aires,ENSENADA,Estatal,Urbano,43,43,43,,,,,,30,34,14,7,17,23,33,19,,8,7,30,23,14,15,3,1,6,9,7,6,,4,33,2,2,1,27,3,4,3,33,26,25,18,9,22,11,10,16,13,1,,2,12,6,42,31,,,,,
Buenos Aires,ENSENADA,Privado,Urbano,10,9,9,,2,,,,6,7,5,1,6,3,9,4,,1,1,9,,,,,,,,,,,,,9,3,,8,1,1,1,9,8,,6,1,,,9,2,1,,1,,3,1,5,1,,3,3,3,
